country,ID PAIS
USA,1
Congo,2
Nigeria,3
Lithuania,4
Canada,5
Ukraine,6
Serbia and Montenegro,7
Croatia,8
Jamaica,9
Slovenia,10
US Virgin Islands,11
France,12
St. Vincent & Grenadines,13
Georgia,14
New Zealand,15
Dominican Republic,16
Germany,17
England,18
Belize,19
Mexico,20
Greece,21
Turkey,22
Finland,23
China,24
Puerto Rico,25
Senegal,26
Mali,27
U.S. Virgin Islands,28
Argentina,29
Yugoslavia,30
Spain,31
Venezuela,32
Serbia,33
Haiti,34
Russia,35
Poland,36
Netherlands,37
Czech Republic,38
Scotland,39
Brazil,40
Ireland,41
Montenegro,42
United Kingdom,43
Democratic Republic of the Congo,44
Latvia,45
South Korea,46
USSR,47
Australia,48
Sudan (UK),49
Uruguay,50
Italy,51
Switzerland,52
Gabon,53
Iran,54
Cameroon,55
Tanzania,56
Sweden,57
Israel,58
Panama,59
Bosnia,60
Great Britain,61
Macedonia,62
Bosnia & Herzegovina,63
Tunisia,64
Cabo Verde,65
Ghana,66
Austria,67
South Sudan,68
Bahamas,69
Egypt,70
Bosnia and Herzegovina,71
Trinidad and Tobago,72
Japan,73
Angola,74
Guinea,75
Sudan,76
